lattitude,longitude,time
39.0381,61.6226,2022-10-12 13:31:30.048256
36.5969,65.2973,2022-10-12 13:32:31.167105
34.0347,68.7248,2022-10-12 13:33:32.284957
31.3691,71.9318,2022-10-12 13:34:33.401814
28.6155,74.9444,2022-10-12 13:35:34.516755
25.7876,77.7876,2022-10-12 13:36:35.633354
22.8973,80.4843,2022-10-12 13:37:36.749806
19.9549,83.0563,2022-10-12 13:38:37.898374
16.9697,85.5237,2022-10-12 13:39:39.018596
13.9495,87.905,2022-10-12 13:40:40.133198
10.8766,90.2364,2022-10-12 13:41:41.273017
7.8078,92.4962,2022-10-12 13:42:42.390630
4.7247,94.7189,2022-10-12 13:43:43.504702
1.6329,96.9195,2022-10-12 13:44:44.617177
-1.4616,99.1123,2022-10-12 13:45:45.796378
-4.5531,101.3116,2022-10-12 13:46:46.916212
-7.6361,103.5321,2022-10-12 13:47:48.028457
-10.7044,105.7882,2022-10-12 13:48:49.147956
-13.7518,108.0954,2022-10-12 13:49:50.260249
-16.7722,110.4701,2022-10-12 13:50:51.391802
-19.7576,112.929,2022-10-12 13:51:52.581104
-22.7002,115.4906,2022-10-12 13:52:53.736495
-25.5909,118.1747,2022-10-12 13:53:54.852188
-28.4425,121.0265,2022-10-12 13:54:55.964217
-31.1971,124.0231,2022-10-12 13:55:57.082517
-33.8646,127.2114,2022-10-12 13:56:58.195676
-36.4299,130.6175,2022-10-12 13:57:59.309228
-38.8755,134.2677,2022-10-12 13:59:00.496370
-41.1633,138.1547,2022-10-12 14:00:01.611919
-43.3324,142.4149,2022-10-12 14:01:02.737869
-45.2894,146.9422,2022-10-12 14:02:03.858604
-47.0326,151.7916,2022-10-12 14:03:04.987131
-48.5341,156.9609,2022-10-12 14:04:06.107195
-49.7657,162.4305,2022-10-12 14:05:07.231150
-50.7014,168.1623,2022-10-12 14:06:08.351222
-51.319,174.095,2022-10-12 14:07:09.500387
-51.6029,-179.8499,2022-10-12 14:08:10.621204
-51.5454,-173.763,2022-10-12 14:09:11.746758
-51.1481,-167.7389,2022-10-12 14:10:12.884363
-50.4215,-161.8657,2022-10-12 14:11:13.997413
-49.3834,-156.2154,2022-10-12 14:12:15.121130
-48.0578,-150.8423,2022-10-12 14:13:16.247252
-46.4715,-145.7784,2022-10-12 14:14:17.360904
-44.6528,-141.0367,2022-10-12 14:15:18.480163
-42.6121,-136.5801,2022-10-12 14:16:19.652217
-40.4091,-132.4676,2022-10-12 14:17:20.778318
-38.052,-128.6413,2022-10-12 14:18:21.905681
-35.5623,-125.0765,2022-10-12 14:19:23.036657
-32.9591,-121.7468,2022-10-12 14:20:24.158792
-30.259,-118.6259,2022-10-12 14:21:25.283528
-27.4767,-115.6884,2022-10-12 14:22:26.413336
-24.6247,-112.9101,2022-10-12 14:23:27.535180
-21.714,-110.2682,2022-10-12 14:24:28.661547
10.8203,-85.9308,2022-10-12 14:35:18.518839
13.8703,-83.6184,2022-10-12 14:36:19.958920
16.9174,-81.2179,2022-10-12 14:37:21.190757
19.905,-78.7507,2022-10-12 14:38:22.421399
22.8497,-76.1792,2022-10-12 14:39:23.670397
25.7657,-73.4606,2022-10-12 14:40:24.905913
28.5953,-70.6174,2022-10-12 14:41:26.162351
31.3505,-67.6048,2022-10-12 14:42:27.394328
34.0177,-64.398,2022-10-12 14:43:28.624370
36.6021,-60.9417,2022-10-12 14:44:29.893413
39.0439,-57.265,2022-10-12 14:45:31.119968
41.3441,-53.3151,2022-10-12 14:46:32.351470
43.497,-49.0322,2022-10-12 14:47:33.583660
45.4419,-44.4681,2022-10-12 14:48:34.843156
47.17,-39.5797,2022-10-12 14:49:36.085414
48.6638,-34.3268,2022-10-12 14:50:37.318826
49.8707,-28.816,2022-10-12 14:51:38.551181
50.778,-23.0474,2022-10-12 14:52:39.779544
51.3637,-17.0838,2022-10-12 14:53:41.004860
51.6135,-10.9562,2022-10-12 14:54:42.287747
51.5168,-4.8574,2022-10-12 14:55:43.530562
51.0795,1.1674,2022-10-12 14:56:44.771094
50.3055,7.0783,2022-10-12 14:57:45.998543
49.2166,12.7524,2022-10-12 14:58:47.695834
47.838,18.1376,2022-10-12 14:59:49.355709
46.2119,23.1644,2022-10-12 15:00:50.590782
44.357,27.8663,2022-10-12 15:01:51.815637
42.2837,32.2822,2022-10-12 15:02:53.050521
40.0518,36.3557,2022-10-12 15:03:54.282510
37.6687,40.1459,2022-10-12 15:04:55.529117
35.1353,43.7052,2022-10-12 15:05:56.767095
32.5113,47.0026,2022-10-12 15:06:57.998143
29.7935,50.0944,2022-10-12 15:07:59.235015
26.9724,53.0296,2022-10-12 15:09:00.502760
24.1069,55.7843,2022-10-12 15:10:01.733237
21.185,58.4057,2022-10-12 15:11:02.958240
18.2162,60.9145,2022-10-12 15:12:04.195161
15.1848,63.3489,2022-10-12 15:13:05.423128
12.1474,65.6875,2022-10-12 15:14:06.706490
9.0865,67.9672,2022-10-12 15:15:07.936270
5.9831,70.2218,2022-10-12 15:16:09.169952
2.8943,72.4295,2022-10-12 15:17:10.401441
-0.1999,74.6238,2022-10-12 15:18:11.629889
-3.2934,76.8188,2022-10-12 15:19:12.927152
-6.4057,79.047,2022-10-12 15:20:14.195171
-9.4809,81.2872,2022-10-12 15:21:15.422532
-12.5376,83.5722,2022-10-12 15:22:16.690528
-15.5943,85.9374,2022-10-12 15:23:17.934013
-18.5941,88.3611,2022-10-12 15:24:19.159997
-21.5544,90.8801,2022-10-12 15:25:20.391941
-24.4901,93.5357,2022-10-12 15:26:21.624701
-27.3439,96.306,2022-10-12 15:27:22.891013
